"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Channing Frye","C","CLE",79,38,117,14,4,48,20,6,5,13,44,2393887
"Markelle Fultz","SG","PHI",14,141,155,37,26,44,59,17,5,25,52,8339880
"Danilo Gallinari","SF","LAC",372,512,884,406,54,363,178,49,23,99,129,21587579
"Langston Galloway","SG","DET",380,207,587,96,49,122,85,37,8,24,135,7e+06
"Billy Garrett","SG","NYK",8,19,27,4,0,3,7,1,1,2,3,3206640
"Marc Gasol","C","TOT",273,597,870,253,80,547,349,84,86,155,217,24119025
"Pau Gasol","C","TOT",13,81,94,40,22,115,52,5,15,16,29,15100000
"Rudy Gay","PF","SAS",184,562,746,147,63,407,182,54,34,114,159,10087200
"Paul George","SF","OKC",757,857,1614,540,105,523,318,170,34,205,214,30560700
"Taj Gibson","PF","MIN",34,503,537,177,172,286,84,53,39,73,186,1.4e+07
"Harry Giles","PF","SAC",6,342,348,91,66,156,85,31,22,73,150,2207040
"Shai Gilgeous-Alexander","PG","LAC",139,577,716,195,57,175,270,96,45,141,175,3375360
"Rudy Gobert","C","UTA",0,712,712,522,309,732,161,66,187,130,231,23241573
"Brandon Goodwin","PG","DEN",6,17,23,11,1,2,14,0,0,3,7,3206640
"Aaron Gordon","PF","ORL",347,699,1046,253,129,445,289,57,56,162,172,21590909
"Eric Gordon","SG","HOU",600,338,938,152,17,131,129,41,27,90,143,13500375
"Marcin Gortat","C","LAC",0,186,186,48,67,194,65,6,24,50,92,13565218
